Title,URL,Reporting guideline acronym,Study design,Clinical area,Language,Reporting guideline provided for?,Applies to the whole report or to individual sections of the report?,Full bibliographic reference,PubMed ID,DOI,Date of publication / Ahead of print date,Reporting guideline website URL,Relevant URLs(full-text if available),Explanation and elaboration papers,Availability in additional languages,Relevant more generic / specialised reporting guidelines,Previous versions of this guideline / Guideline history,Additional information,Other,Selected relevant editorials,"Other relevant research(i.e. research regarding the guideline's effectiveness usability, impact etc.)",Primary guideline publication,Taxonomy terms,Record last updated on,Downloadable files (name|url),Equator-hosted files count
Evidence -Based Practice Quality Improvement Reporting Guidelines,https://www.equator-network.org/reporting-guidelines/evidence-based-practice-quality-improvement-reporting-guidelines/,EBPQI,Service quality improvement studies,,,Reporting of evidence-based practice quality improvement initiatives,Whole report,"Reynolds SS, Waldrop JB, Dunlap JJ. Evidence-Based Practice Quality Improvement Reporting Guidelines. J Nurs Care Qual. 2025 Sep 12. doi: 10.1097/NCQ.0000000000000912",40937903,10.1097/NCQ.0000000000000912,,,,,,,,,,,,Read the full guidance here,,"October 1, 2025",,0
Statistical Analysis and Reporting of Cardiac Output Method Comparison Studies (COMPARE) Statement,https://www.equator-network.org/reporting-guidelines/statistical-analysis-and-reporting-of-cardiac-output-method-comparison-studies-compare-statement/,COMPARE,,,English,Reporting cardiac output method comparison studies,Whole report,"Saugel B, Hapfelmeier A, Flick M, Rinehart J, Thiele RH, Vistisen ST, Bartels K, Cannesson M, Cecconi M, Chew MS, De Backer D, Joosten A, Khanna AK, Levy JH, Meidert AS, Messina A, Monnet X, Myatra SN, Pinsky MR, Turan A, van der Horst ICC, Vincent JL, Kouz K. Statistical Analysis and Reporting of Cardiac Output Method Comparison Studies (COMPARE) Statement. Anesthesiology. 2025 Sep 1;143(3):518-532. doi: 10.1097/ALN.0000000000005559. Epub",40793805,10.1097/ALN.0000000000005559,,,Read the COMPARE statement here.,,,,,,,,,,,"September 10, 2025",,0
Reporting guideline for the use of Generative Artificial intelligence tools in MEdical Research: the GAMER Statement,https://www.equator-network.org/reporting-guidelines/reporting-guideline-for-the-use-of-generative-artificial-intelligence-tools-in-medical-research-the-gamer-statement/,GAMER,Artificial intelligence/Machine learning studies,,,Standardised guideline for generative artificial intelligence use in medical research,Whole report,"Luo X, Tham YC, Giuffrè M, Ranisch R, Daher M, Lam K, Eriksen AV, Hsu CW, Ozaki A, Moraes FY, Khanna S, Su KP, Begagić E, Bian Z, Chen Y, Estill J; GAMER Working Group. Reporting guideline for the use of Generative Artificial intelligence tools in MEdical Research: the GAMER Statement. BMJ Evid Based Med. 2025 May 13:bmjebm-2025-113825.",40360239,10.1136/bmjebm-2025-113825,,,,,The GAMER Checklist is available in Chinese.,,,,,,,Read the full text of GAMER.,,"July 28, 2025",Chinese|https://www.equator-network.org/wp-content/uploads/2025/07/GAMER-checklist-Chinese-version.docx,1
Reporting guidelines for qualitative research: a values-based approach,https://www.equator-network.org/reporting-guidelines/reporting-guidelines-for-qualitative-research-a-values-based-approach/,,Qualitative research,,English,Reporting guidelines for qualitative research: a values-based approach,Whole report,"Braun V, Clarke V. Reporting guidelines for qualitative research: a values-based approach. Qualitative Research in Psychology 2025; 22: 399-438.",,10.1080/14780887.2024.2382244,,,,,,,,,,,,Read the guidance here.,,"September 10, 2025",,0
Reporting guidelines for tear fluid research,https://www.equator-network.org/reporting-guidelines/reporting-guidelines-for-tear-fluid-research-2/,TEAR-RG,,,English,Reporting guidelines for tear fluid research,,"Schmeetz J, van de Sande N, Rojas-Carabali W, Mergen B, Bonnet C, Boychev N, Cifuentes-González C, Kessal K, Brignole-Baudouin F, Asbell P, Kilicaslan NA, Lengyel I, Ibanez IC, Agrawal R, Gijs M. International reporting guidelines for tear fluid research: A Delphi consensus. Cont Lens Anterior Eye. 2025 Oct;48(5):102448. doi: 10.1016/j.clae.2025.102448.",40484775,10.1016/j.clae.2025.102448.,,,Read the full text of TEAR-RG here. Get the TEAR-RG checklist here.,,,,,,,,,,,"September 10, 2025",here|https://www.contactlensjournal.com/cms/10.1016/j.clae.2025.102448/attachment/b12ad117-bcf9-403a-8bf0-6a98e9149730/mmc1.docx,0
Reporting of Children’s Footwear Research (CHILD-SHOE),https://www.equator-network.org/reporting-guidelines/reporting-of-childrens-footwear-research-child-shoe/,CHILD-Shoe,,Paediatrics,English,Reporting of Children's Footwear Research,Whole report,"Williams CM, Farlie M, Kolic J, Morrison SC, Paterson K, Hill M, Bonacci J, Breet MC, Cranage S, Caswell SV, Hannigan JJ, Herbaut A, Hollander K, Ibikunle PO, Kennedy RA, Kong PW, Maharaj JN, Mazzella N, Munteanu SE, Okai-Nóbrega LA, Gijon-Nogueron G, Plesek J, Saeedi H, Tong JWK, Tora A, Venter R, Yurt Y, Banwell H. Development of the CHILD-SHOE Reporting Checklist: A Scoping Review and Modified Delphi Study to Support Reporting in Children's Footwear Research. J Foot Ankle Res. 2025 Sep;18(3):e70065. doi: 10.1002/jfa2.70065.",40635302,10.1002/jfa2.70065,,,Read the CHILD-Shoe guidance here. Download the CHILD-Shoe checklist here.,,,,,,,,,,,"September 10, 2025",,0
Reporting Guidelines for the Early -Phase Clinical Evaluation of Applications Using Extended Reality: RATE-XR,https://www.equator-network.org/reporting-guidelines/reporting-guidelines-for-the-early-phase-clinical-evaluation-of-applications-using-extended-reality-rate-xr/,RATE-XR,,,English,Reporting for the early-phase clinical evaluation of applications using extended reality,,"Vlake JH, Drop DLQ, Van Bommel J, Riva G, Wiederhold BK, Cipresso P, Rizzo AS, Rothbaum BO, Botella C, Hooft L, Bienvenu OJ, Jung C, Geerts B, Wils EJ, Gommers D, van Genderen ME; RATE-XR Expert Group. Reporting Guidelines for the Early-Phase Clinical Evaluation of Applications Using Extended Reality: RATE-XR Qualitative Study Guideline. J Med Internet Res. 2024 Nov 29;26:e56790. doi: 10.2196/56790.",39612482,10.2196/56790.,,,,,,,,,,,,Read the full text of RATE-XR here.,,"September 10, 2025",,0
The STARD-AI reporting guideline for diagnostic accuracy studies using artificial intelligence,https://www.equator-network.org/reporting-guidelines/the-stard-ai-reporting-guideline-for-diagnostic-accuracy-studies-using-artificial-intelligence/,STARD-AI,"Artificial intelligence/Machine learning studies, Diagnostic and prognostic studies",,English,,Whole report,"Sounderajah V, Guni A, Liu X, Collins GS, Karthikesalingam A, Markar SR, Golub RM, Denniston AK, Shetty S, Moher D, Bossuyt PM, Darzi A, Ashrafian H; STARD-AI Steering Committee. The STARD-AI reporting guideline for diagnostic accuracy studies using artificial intelligence. Nat Med. 2025 Sep 15. doi: 10.1038/s41591-025-03953-8",40954311,10.1038/s41591-025-03953-8,,,Read the STARD-AI guidance here.,,,,,,,,,,,"September 16, 2025",,0
CARE extension guideline for acupuncture case reports,https://www.equator-network.org/reporting-guidelines/care-extension-guideline-for-acupuncture-case-reports/,,,,English,Reporting acupuncture case reports.,Whole report,"Duan Y, Xu Z, Zhang Y, Liu S, Chen J, Chen Y, Xu N, Tang C, Rong P, Lu L, Wang Y, Lee YS, Kim TH, Riley DS, Shi L, Lee MS, Yu L. CARE extension guideline for acupuncture case reports. BMJ Evid Based Med. 2025 Jul 1:bmjebm-2025-113641.",40562435,10.1136/bmjebm-2025-113641,,,,,,,,,,,,Read the full guidance here.,,"October 10, 2025",,0
STROBE-metagenomics : a STROBE extension statement to guide the reporting of metagenomics studies,https://www.equator-network.org/reporting-guidelines/strobe-metagenomics-a-strobe-extension-statement-to-guide-the-reporting-of-metagenomics-studies/,STROBE-metagenomics,Observational studies,,English,Reporting of metagenomics research,Whole report,"Bharucha T, Oeser C, Balloux F, Brown JR, Carbo EC, Charlett A, Chiu CY, Claas ECJ, de Goffau MC, de Vries JJC, Eloit M, Hopkins S, Huggett JF, MacCannell D, Morfopoulou S, Nath A, O'Sullivan DM, Reoma LB, Shaw LP, Sidorov I, Simner PJ, Van Tan L, Thomson EC, van Dorp L, Wilson MR, Breuer J, Field N. STROBE-metagenomics: a STROBE extension statement to guide the reporting of metagenomics studies. Lancet Infect Dis. 2020 Oct;20(10):e251-e260.",32768390,10.1016/S1473-3099(20)30199-7,,,Read the STROBE-metagenomics guidance here.,,,,,,,,,,,"September 10, 2025",,0
The LEADING guideline,https://www.equator-network.org/reporting-guidelines/the-leading-guideline/,LEADING,Observational studies,Psychiatry,English,"Reporting standards for expert panel, best-estimate diagnosis, and longitudinal expert all data methods.",Whole report,"Eijsbroek VC, Kjell K, Schwartz HA, Boehnke JR, Fried EI, Klein DN, Gustafsson P, Augenstein I, Bossuyt PMM, Kjell ONE. The LEADING guideline: Reporting standards for expert panel, best-estimate diagnosis, and longitudinal expert all data (LEAD) methods. Compr Psychiatry. 2025; 141: 152603",40479924,10.1016/j.comppsych.2025.152603,,https://www.leading-guideline.org,A reporting template can be found on the LEADING project website.,,,,,,,,,Read the full text of the paper.,,"July 31, 2025",,0
Guidelines for Reporting on Norm -Referenced and Criterion -Referenced Scores,https://www.equator-network.org/reporting-guidelines/guidelines-for-reporting-on-norm-referenced-and-criterion-referenced-scores/,GRoNC,,,English,Reporting on Norm-referenced and Criterion-referenced Scores for psychological tests,Whole report,"Timmerman ME, De Bildt A, Urban J. The GRoNC: Guidelines for Reporting on Norm-Referenced and Criterion-Referenced Scores. Assessment 2025; doi: 10.1177/10731911251371395",,10.1177/10731911251371395,,,,,,,,,,,,Read the full GRoNC guidance here.,,"October 10, 2025",,0
Guidelines for Intersectional Analysis in Science and Technology,https://www.equator-network.org/reporting-guidelines/guidelines-for-intersectional-analysis-in-science-and-technology/,GIST,,,English,"Guidelines for Intersectional Analysis in Science and Technology, for example, gender and race, or geographical location and caste",Whole report,"Schiebinger L, Nielsen MW, Gissi E, Heidari S, Horton R, Nadeau KC, Ngila D, Noble SU, Paik HY, Tadesse GA, Zeng EY, Zou J, Marsh J. Guidelines for Intersectional Analysis in Science and Technology: Implementation and Checklist Development. European Science Editing 2025; 51: e162101",,10.3897/ese.2025.e162102,,,,,Read more on the considerations for Intersectional analysis for science and technology here.,,,,,,,Read the full guidance here.,,"October 10, 2025",,0
RIGHTCARE-PR : Reporting guidelines for human rights in child and adolescent psychiatry,https://www.equator-network.org/reporting-guidelines/rightcare-pr-reporting-guidelines-for-human-rights-in-child-and-adolescent-psychiatry/,RIGHTCARE-PR,,"Paediatrics, Psychiatry",English,Reporting research on restraints in child and adolescent psychiatric care,Whole report,"Pértega E, Holmberg C. RIGHTCARE-PR: Reporting guidelines for human rights in child and adolescent psychiatry. Int J Law Psychiatry. 2025 Sep-Oct;102:102110. doi: 10.1016/j.ijlp.2025.102110.",40446495,10.1016/j.ijlp.2025.102110.,,,Read the RIGHTCARE-PR guidance here,,,,,,,,,,,"September 10, 2025",,0
Standards for Rapid Evaluation and Appraisal Methods (STREAM),https://www.equator-network.org/reporting-guidelines/standards-for-rapid-evaluation-and-appraisal-methods-stream/,STREAM,,,,"This reporting guideline will apply to observational studies, qualitative research and mixed methods studies, service quality improvement studies and any study using rapid evaluation approaches.",Whole report,"Clark SE, Vera San Juan N, Vindrola-Padros C. Developing Standards for Rapid Evaluation and Appraisal Methods (STREAM): An e-Delphi Consensus Study. J Eval Clin Pract. 2025 Aug;31(5):e70207",40652557,10.1111/jep.70207,,,Read the full text of STREAM. STREAM website.,,,,,,,,,,,"September 10, 2025",,0
Reporting guideline for Chatbot Health Advice studies: the CHART statement,https://www.equator-network.org/reporting-guidelines/reporting-guideline-for-chatbot-health-advice-studies-the-chart-statement/,CHART,Artificial intelligence/Machine learning studies,,English,Reporting recommendations for studies evaluating the performance of generative artificial intelligence (AI)-driven chatbots when summarizing clinical evidence and providing health advice.,Whole report,"Huo B, Collins G, Chartash D, Thirunavukarasu A, Flanagin A, Iorio A, Cacciamani G, Chen X, Liu N, Mathur P, Chan AW, Laine C, Pacella D, Berkwits M, Antoniou SA, Camaradou JC, Canfield C, Mittelman M, Feeney T, Loder E, Agha R, Saha A, Mayol J, Sunjaya A, Harvey H, Ng JY, McKechnie T, Lee Y, Verma N, Stiglic G, McCradden M, Ramji K, Boudreau V, Ortenzi M, Meerpohl J, Vandvik PO, Agoritsas T, Samuel D, Frankish H, Anderson M, Yao X, Loeb S, Lokker C, Liu X, Guallar E, Guyatt G. Reporting guideline for Chatbot Health Advice studies: the CHART statement. This guideline was published simultaneously in 6 journals. You can read the guideline in any of these journals using the links below. Annals of Family Medicine: PMID 40750305 Artificial Intelligence in Medicine: PMID 40753040 BMC Medicine: PMID 40745595 BMJ Medicine: PMID 40761518 British Journal of Surgery: PMID 40747825 JAMA Network Open: PMID 40747871",,,,,,CHART Collaborative. Reporting guidelines for chatbot health advice studies: explanation and elaboration for the Chatbot Assessment Reporting Tool (CHART). BMJ. 2025; 390: e083305. PMID: 40750271,,,,,,,,,,"August 6, 2025",,0
Reporting guidelines for tear fluid research,https://www.equator-network.org/reporting-guidelines/reporting-guidelines-for-tear-fluid-research/,,"Experimental studies, Observational studies",Ophthalmology,,Reporting guidelines for tear fluid research,Whole report,"Schmeetz J, van de Sande N, Rojas-Carabali W, Mergen B, Bonnet C, Boychev N, Cifuentes-González C, Kessal K, Brignole-Baudouin F, Asbell P, Kilicaslan NA, Lengyel I, Ibanez IC, Agrawal R, Gijs M. International reporting guidelines for tear fluid research: A Delphi consensus. Cont Lens Anterior Eye 2025 [doi: 10.1016/j.clae.2025.102448]",40484775,10.1016/j.clae.2025.102448,,,Read the full text of the guideline. The checklists can be downloaded TEAR-Reporting Guidelines.,,,,,,,,,,,"July 11, 2025",TEAR-Reporting Guidelines|https://www.equator-network.org/wp-content/uploads/2025/07/TEAR-Reporting-Guidelines.pdf,1
STROBE-EQUITY,https://www.equator-network.org/reporting-guidelines/strobe-equity/,STROBE-EQUITY,Observational studies,,,,Whole report,"Dewidar O, Shamseer L, Melendez-Torres GJ, Akl EA, Ramke J, Wang X, Oloyede O, Young T, Nicholls SG, Marshall Z, Kennedy M, Hardy BJ, Rizvi A, Ghogomu E, Rader T, Waddington HS, Shea B, Nkangu M, Ellingwood H, Wolfenden L, Tufte J, Horsley T, Pottie K, Cuervo LG, Juando-Prats C, Feng C, Sharp MK, Little J, Owusu-Addo E, Francis D, Kredo T, Mahande MJ, Chamberlain C, Pantoja T, von Elm E, Bhutta ZA, Tugwell P, Wiysonge CS, Funnell S, Jull J, Mbuagbaw L, Welch V. Improving the reporting on health equity in observational research (STROBE-Equity): extension checklist and elaboration. This guideline was published simultaneously in 2 journals. You can read the guideline in any of these journals using the links below. BMJ. 2025; 390:e083882. PMID: 40903054 JAMA Netw Open. 2025;8:e2532512. PMID 40899932",,10.1136/bmj-2024-083882,,,,,,,,,,,,Read the guidance here,,"October 1, 2025",,0
Transparent reporting of observational studies emulating a target trial: the TARGET Statement,https://www.equator-network.org/reporting-guidelines/22462/,TARGET,"Experimental studies, Observational studies",,English,The Transparent Reporting of Observational Studies Emulating a Target Trial (TARGET) guideline was developed for reporting analyses of observational data that explicitly aim to estimate causal effects by emulating a target trial.,Whole report,"Cashin AG, Hansford HJ, Hernán MA, Swanson SA, Lee H, Jones MD, Dahabreh IJ, Dickerman BA, Egger M, Garcia-Albeniz X, Golub RM, Islam N, Lodi S, Moreno-Betancur M, Pearson SA, Schneeweiss S, Sharp MK, Sterne JAC, Stuart EA, McAuley JH. Transparent reporting of observational studies emulating a target trial: the TARGET Statement. This guideline was published simultaneously in 2 journals. You can read the guideline in any of these journals using the links below. BMJ. 2025; 390:e087179. PMID: 40903028 JAMA. 2025. PMID: 40899949",,,,https://target-guideline.org/,Download the checklist here.,,,,,,,,,,,"September 10, 2025",here|https://target-guideline.org/files/TARGET_checklist_editable_2025.docx,0
ELEVATE-GenAI,https://www.equator-network.org/reporting-guidelines/elevate-genai/,ELEVATE-GenAI,"Artificial intelligence/Machine learning studies, Economic evaluations",,English,Structured guidance for reporting research using large language models (LLMs) in Health Economics and Outcomes Research,Whole report,"Fleurence RL, Dawoud D, Bian J, Higashi MK, Wang X, Xu H, Chhatwal J, Ayer T; ISPOR Working Group on Generative AI. ELEVATE-GenAI: Reporting Guidelines for the Use of Large Language Models in Health Economics and Outcomes Research: an ISPOR Working Group on Generative AI Report. Value Health. 2025",40653157,10.1016/j.jval.2025.06.018,,,,,,,,,,,,Read the full text of ELEVATE-GenAI.,,"July 31, 2025",,0
"Development, Evaluation, and Assessment of Large Language Models (DEAL) Checklist",https://www.equator-network.org/reporting-guidelines/development-evaluation-and-assessment-of-large-language-models-deal-checklist/,DEAL,"Artificial intelligence/Machine learning studies, Diagnostic and prognostic studies",,English,"DEAL-A: Intended for studies involving substantial LLM development, advanced techniques, or comprehensive fine-tuning DEAL-B: Tailored for more straightforward applications utilizing pretrained LLMs with minimal adjustments or a focus on prompt engineering",Whole report,"Tripathi S, Alkhulaifat D, Doo FX, Rajpurkar P, McBeth R, Daye D, Cook TS. Development, Evaluation, and Assessment of Large Language Models (DEAL) Checklist: A Technical Report. NEJM AI. 2025; 2: 6.",,10.1056/AIp2401106,2025,,Read the full text of DEAL. The DEAL checklists can be found in the supplementary material.,,,,,,,,,,,"June 20, 2025",The DEAL checklists|https://ai.nejm.org/doi/suppl/10.1056/AIp2401106/suppl_file/aip2401106_appendix.pdf,0
The TRIPOD-LLM reporting guideline for studies using large language models,https://www.equator-network.org/reporting-guidelines/the-tripod-llm-reporting-guideline-for-studies-using-large-language-models/,TRIPOD-LLM,Artificial intelligence/Machine learning studies,,English,"Reporting of studies that are developing, tuning, prompt engineering or evaluating a large language model (LLM).",Whole report,"Gallifant J, Afshar M, Ameen S, Aphinyanaphongs Y, Chen S, Cacciamani G, Demner-Fushman D, Dligach D, Daneshjou R, Fernandes C, Hansen LH, Landman A, Lehmann L, McCoy LG, Miller T, Moreno A, Munch N, Restrepo D, Savova G, Umeton R, Gichoya JW, Collins GS, Moons KGM, Celi LA, Bitterman DS. The TRIPOD-LLM reporting guideline for studies using large language models. Nat Med. 2025.",39779929,,,https://tripod-llm.vercel.app/,Read the full-text of the TRIPOD-LLM guideline.,,,"Generic TRIPOD+AI Statement: Collins GS, Moons KGM, Dhiman P, Riley RD, Beam AL, Van Calster B, Ghassemi M, Liu X, Reitsma JB, van Smeden M, Boulesteix AL, Camaradou JC, Celi LA, Denaxas S, Denniston AK, Glocker B, Golub RM, Harvey H, Heinze G, Hoffman MM, Kengne AP, Lam E, Lee N, Loder EW, Maier-Hein L, Mateen BA, McCradden MD, Oakden-Rayner L, Ordish J, Parnell R, Rose S, Singh K, Wynants L, Logullo P. TRIPOD+AI statement: updated guidance for reporting clinical prediction models that use regression or machine learning methods. BMJ. 2024;385:e078378. PMID: 38626948 Specialised TRIPOD-SRMA: Snell KIE, Levis B, Damen JAA, Dhiman P, Debray TPA, Hooft L, Reitsma JB, Moons KGM, Collins GS, Riley RD. Transparent reporting of multivariable prediction models for individual prognosis or diagnosis: checklist for systematic reviews and meta-analyses (TRIPOD-SRMA). BMJ. 2023;381:e073538. PMID: 37137496 TRIPOD-Cluster: Debray TPA, Collins GS, Riley RD, Snell KIE, Van Calster B, Reitsma JB, Moons KGM. Transparent reporting of multivariable prediction models developed or validated using clustered data: TRIPOD-Cluster checklist. BMJ. 2023;380:e071018. PMID: 36750242",,,The guideline includes a separate checklist for journal or conference abstracts of LLM-based studies (TRIPOD-LLM for abstracts).,,,,,"January 10, 2025",,0
